Català,English
a,to
abans,before
accés,access
accessoris,accessories
accidentes,accidents
adeslas,adeslas
adulto,adult
adults,adults
afegir,add
agenesis,agenesis
ajudar,help
ajudes,aid
al,at the
alemany,German
aliens,aliens
als,to the
alt,high
alumnes,students
alvarado,Alvarado
amb,with
ambient,friendly
ambiental,environmental
anglès,English
antiatracament,antiatracament
any,year
anys,years
aparella,matches
aqua,aqua
aquesta,this
aquí,here
ara,now
armaris,wardrobes
art,art
artesanal,craft
asistencia,Help
assecadores,Dryers
assecat,dried
assegurances,insurance
assistit,attended
atenció,attention
automàtic,Machine
automàtica,automatic
automoviles,automobiles
autoritats,authorities
autoritzata,authorized
autoritzats,authorized
autoservei,supermarket
avís,warning
avui,today
bajaña,Baján
beckett,Beckett
benvingut,welcome
bitutors,bitutors
blindades,armored
buscar,search
cada,each
cadires,chairs
caducitat,expiry
caixes,boxes
calçat,shoes
calidad,calidad
camí,way
camion,truck
canals,channels
caràcter,nature
carregar,load
carrer,Street
casa,house
casas,houses
cascos,helmets
catalunya,Catalonia
catifes,rugs
causats,caused
centaure,centaur
centre,center
certificat,certificate
cicle,cycle
circulatòries,circulatory
ciutadana,citizen
civil,civil
claus,keys
clients,clients
clínica,clinic
codi,source
coll,neck
columna,column
com,how
comercio,comercio
comissió,commission
companyia,company
complicacions,complications
compro,Check out
comprometem,commit
compromís,commitment
comprovar,to check
compte,account
comunicació,communication
comunidad,comunidad
comunidades,communities
conserven,preserved
consideracions,considerations
contactar,contact
contagis,infections
contenció,containment
contra,versus
contracta,hiring
contracti,contracts
contratedes,contratedes
còpia,copy
cosmètiques,cosmetic
cossos,bodies
cotilles,corsets
creació,creation
creant,creating
crèdit,credit
cremalleres,zippers
cuines,kitchens
cultura,culture
cursos,courses
d'acord,Okay
d'adeslas,adeslas
d'afeccions,affections
d'anys,years
d'aquest,this
d'aquestes,these
d'assecat,drying
d'emissió,emission
d'entrar,enter
d'hèrnies,hernia
d'incontinència,incontinence
d'infeccions,infections
d'interiorisme,interior
d'obertura,opening
d'oficines,office
d'orina,urine
d'un,a
dads,Dads
danys,damage
data,dates
de,of
decorativa,decorative
decret,Decree
deis,foothold
del,from
dels,of
demanem,call
dental,dental
departament,department
descompte,discount
desembere,desembere
desembre,December
desinfectar,disinfect
detergent,detergent
dies,days
difícils,difficult
dilluns,Monday
dinàmic,dynamic
diners,money
dins,within
direcció,direction
directe,live
dispensa,waiver
disponsible,disponsible
disposició,available
dissabte,Saturday
distancia,distance
distància,distance
divendres,Friday
document,document
domicili,home address
dossificació,dosage
dramatúrgia,drama
eficaç,effective
el,the
electrònic,e
electrònica,mail
els,the
embarcaciones,boats
emesa,issued
emissió,broadcasting
empleats,employee
empre,lways
empreses,business
en,on
encarga,charge
endavant,come in
enregistrades,recorded
ens,To us
entierro,Burial
entre,between
entris,enter
es,is
és,is
especificada,specified
espereu,wait
estalviar,to save
estan,are
estornuts,estornuts
estructures,structures
estucos,stucco
evitar,avoid
evitem,avoid
excès,excess
exclusivament,exclusively
experts,experts
exterior,outdoor
fa,does
fabricació,manufacturing
fabricants,manufacturers
fabricar,make
fachadas,facades
faixes,strips
família,family
faricant,faricant
febre,fever
febrer,February
fer,do
ferules,splints
fes,time
fidelització,loyalty
fins,to
forces,forces
fortes,stronger
funcionals,functional
funcionament,operation
fusta,wood
fusteria,carpentry
futur,future
gabinet,cabinet
garantia,guarantee
garantit,guaranteed
gastos,expenses
general,general
generalitat,generality
generals,general
govern,government
gràcies,thanks
greus,serious
habitacions,rooms
hagi,has
hechas,hechas
herois,heroes
hi,there
hidroalcohòlica,hydroalcoholic
higiene,hygiene
higienitzant,sanitize
ho,it
hogar,home
horari,schedule
i,and
imatges,pictures
implants,implants
impresos,printed
industriales,industrial
inferior,lower
informa,reports
informació,information
inscripció,registration
installacions,facilities
integritat,integrity
interior,interior
internacional,international
introdüir,to introduce
invertir,invest
is,is
jardí,garden
jubilacion,retirement
judicials,court
l'adreça,address
l'app,app
l'article,article
l'atorgament,granting
l'autorització,authorization
l'empresa,the company
l'estat,the state
l'estora,mat
l'organitzen,is organized
la,the
lavado,lavado
lavanderia,laundry
les,the
licència,License along
limitades,limited
llei,law
llicècia,llicècia
llicència,license
locales,local
lús,use
ma,ma
mal,bad
mama,breast
mano,mano
mans,hands
manteniment,maintenance
mantenir,keep
mantingueu,hold
màquina,machine
màquinas,mACHINES
marxa,up
mascareta,mask
mascarillas,masks
mascotes,Pet
màxim,most
medi,environment
mèdic,medical
membre,member
més,month
mesura,measure
mesures,measures
metge,doctor
mida,size
millor,best
molt,a lot
moltes,many
moment,time
monedes,coins
motocicletas,motorcycles
mucositat,mucus
nàcio,nation
nens,children
ni,or
niño,niño
no,no
nom,first name
nomès,not more
nos,us
nostres,our
nova,new
nueva,nueva
número,number
números,numbers
o,or
obert,open
oberta,open
objectes,objects
obligatori,obligatory
obra,work
obrador,workshop
obrint,opening
oficina,office
opotunitats,opotunitats
òptims,optimal
orgànica,organic
ortesis,orthotics
ortodòncia,orthodontic
ortopèdic,orthopedic
ortopedicos,Ortopedicos
ortopròtesis,ortopròtesis
ortoprotètics,ortoprotètics
pagar,to pay
pais,country
paper,paper
para,for
parkings,parking
parlem,let's talk
particulares,particulares
patir,suffer
patrocini,sponsorship
peces,pieces
pel,by
pensiones,pensiones
per,to
personal,staff
persones,people
pintado,painted
pintura,painting
pinturas,paintings
pis,apartment
pisos,flats
pitjor,worse
places,places
plantilles,templates
podals,Foot
podeu,you
porta,door
portes,doors
possible,possible
possibles,potential
pot,can
pots,can you
presencial,Attended
preu,price
preus,prices
prevenció,prevention
primer,first
privada,private
producció,production
produccions,productions
productes,products
professors,professors
projectes,projects
pròpia,own
protecció,protection
protegida,protected
protesis,prothesis
pròtesis,prostheses
pyme,SME
qual,which
qualitat,good
quals,which
qualsevol,any
que,what
quota,quota
recomanacions,recommendations
records,best regards
reducir,Reducir
reformas,reforms
refredat,cold
regalment,regalment
reial,royal
rendibilitat,profitability
rentadores,washers
rentat,wash
renteu-vos,wash
requisits,requirements
resident,resident
respectuoses,respectful
responsabilidad,Disclaimer
responsable,head
resta,other
retardad,delayed
revisar,review
risc,risk
roba,clothes
rodes,wheels
rue,rue
s'aprova,approved
s'estableixen,down
s'inverteix,reversed
sabates,shoes
sala,hall
salut,Health
sanitaria,healthcare
sanitària,health
sanitaris,health
santitaris,santitaris
sastreria,tailoring
secado,Secado
secretaria,secretary
segueix,carry on
següents,next
seguir,follow
segur,for sure
seguretat,security
sensa,Sensa
sense,without
ser,to be
servei,service
serveis,services
serveo,services
servir,to serve
si,Yes
signatura,signature
siguis,you are
silicones,silicones
símptomes,symptoms
situacions,situations
social,social
solució,solution
són,are
sortirem,leave
sostenibilitat,sustainability
sotmesa,subjected to
sou,you
suavitzant,softener
subornats,bribed
subsidios,subsidios
suministros,suministros
superior,higher
suport,support
suprts,suprts
t'ajuden,help
t'arrisquis,you risk
també,too
tancar,close
tancat,Closed
taquilles,lockers
targeta,card
té,has
te'n,Become
técnic,technical
tècnic,technical
temporada,season
temps,time
tenen,have
tenir,have
tens,you've got
tercers,third
terrados,terrados
teu,your
tinbut,tinbut
tipus,types
titulació,qualifications
torna,come back
tos,Cough
tots,all
tractament,treatment
transmissió,transmission
transportes,transports
tu,you
tus,tus
un,a
una,a
universitat,university
us,you
vàlida,valid
vecinos,neighbors
vehiculos,vehicles
veïnat,neighborhood
verificació,verification
verificar,verified
veritat,truth
vertebral,vertebral
vida,life
videoconsulta,videoconsulta
videovigilada,videovigilada
vigilància,surveillance
vinguin,coming
vostres,your
xarxa,net
xat,chat
y,and
zona,zone
